Year,Data
1800,613.6
1801,603.9
1802,616.6
1803,604.5
1804,617.9
1805,608.3
1806,615.8
1807,612.3
1808,605.8
1809,616.2
1810,615.6
1811,614.2
1812,615.8
1813,614.9
1814,618.7
1815,618.7
1816,616.7
1817,615.6
1818,621
1819,614.9
1820,619
1821,620.3
1822,611.1
1823,608.9
1824,619.9
1825,624.1
1826,624.1
1827,623.2
1828,621.9
1829,623.6
1830,626.5
1831,614.2
1832,626.4
1833,614.6
1834,619.8
1835,614.5
1836,617.8
1837,624.2
1838,617.7
1839,614
1840,615.2
1841,617.2
1842,625.5
1843,623.7
1844,629.2
1845,625.9
1846,618.7
1847,630.9
1848,631.5
1849,623.5
1850,619.4
1851,621.8
1852,626.1
1853,619.5
1854,624.1
1855,619.1
1856,620.3
1857,622.8
1858,624
1859,629.4
1860,622.7
1861,621.6
1862,625.2
1863,625.6
1864,627.8
1865,634.6
1866,637.1
1867,637.9
1868,630.6
1869,638.3
1870,626.6
1871,627.6
1872,635.4
1873,638.7
1874,639.5
1875,639.8
1876,634.9
1877,632.8
1878,637.1
1879,629.1
1880,630.5
1881,627.5
1882,640.7
1883,641.1
1884,642.7
1885,633.8
1886,631.4
1887,642.1
1888,639.8
1889,630.6
1890,635.3
1891,640.3
1892,646.7
1893,641
1894,637.5
1895,638.6
1896,637.6
1897,648.3
1898,644.6
1899,648.5
1900,634.7
1901,639
1902,647.1
1903,646.9
1904,635.7
1905,649.6
1906,647.2
1907,650.6
1908,646.8
1909,644.6
1910,640.3
1911,637.4
1912,639
1913,646.8
1914,642.9
1915,652.2
1916,640.7
1917,645.9
1918,642.2
1919,646
1920,643.7
1921,647.4
1922,651.2
1923,647.7
1924,642.5
1925,643.7
1926,657
1927,658.5
1928,653.2
1929,647.7
1930,653.1
1931,643.8
1932,649.5
1933,651.5
1934,652.6
1935,652.5
1936,649.7
1937,656
1938,646.5
1939,658.5
1940,657.5
1941,654.6
1942,650.1
1943,661
1944,654.4
1945,663
1946,652.5
1947,655.3
1948,655.4
1949,660.9
1950,651.1
1951,651.9
1952,661.1
1953,664.9
1954,666.9
1955,663.8
1956,665
1957,667.2
1958,661.2
1959,663.4
1960,654.3
1961,657
1962,657.8
1963,668.6
1964,657.8
1965,662.3
1966,668.1
1967,662.8
1968,660.4
1969,659.4
1970,659.9
1971,669.4
1972,669.5
1973,665.2
1974,662
1975,665
1976,673.6
1977,666.8
1978,672.2
1979,671.9
1980,662.1
1981,669.4
1982,676.1
1983,667.2
1984,667.1
1985,666.8
1986,666.3
1987,670.7
1988,677.9
1989,677.1
1990,678.3
1991,676.2
1992,665.3
1993,667.9
1994,667.1
1995,669
1996,666.4
1997,672.6
1998,671.6
1999,679.6
2000,671.5
2001,673.9
2002,667.4
2003,681.9
2004,669.1
2005,671.1
2006,676.6
2007,684.6
2008,683.2
2009,671.9
2010,685.4
2011,685.6
2012,675.4
2013,673.4
